full_name,id,barcode,abs_type,belt_length,belt_type,car_brands,compatibility,compatible_cars,diameter,dimension,disc_size,drive_type,engine_code,engine_displacement,fuel_type,main_category,material,part_number,position,sub_category,transmission_type,width,year_from,year_to
+ XV מ12 דסקיות קדמי מ04 B4,,,,,,['Subaru'],"['', 'XV מ12 דסקיות קדמי מ04 B4']","Subaru: XV, Subaru: Legacy B4",,,,,,,,Brake,,,Front,Brake Discs,,,2012,
09-12 פ.גיר מזדה 3,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,,,Transmission,,,,Transmission Filter,,,2009,2012
1.2 CBZ ח.קראנק,,,,,,[],,,,,,,CBZ,1.2 L,,Sensor,,,,Crankshaft Position Sensor,,,,
1.4 CAV מ.מים,,,,,,[],,,,,,,CAV,1.4 L,,Cooling,,,,Water Pump,,,,
1.4 מ15 SX4 פ.אויר + ויטרה 1.4 מ15,,,,,,['Suzuki'],"['1.4 מ15 SX4 פ.אויר', 'ויטרה 1.4 מ15']","Suzuki: Vitara, Suzuki: SX4",,,,,,1.4 L,,Filter,,,,Air Filter,,,2015,
1.6 BTS מ.מים רומסטר,,,,,,['Skoda'],,Skoda: Roomster,,,,,BTS,1.6 L,,Cooling,,,,Water Pump,,,,
1.6 צינור מים תחתון מזדה 3 עד 12,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,1.6 L,,Cooling,,,Lower,Coolant Pipe,,,,2012
1.6 ת.מנוע ימין מזדה 3 מ09,,,,,,['Mazda'],,Mazda: Mazda3,,,,,,1.6 L,,Engine,,,Right,Right Engine Mount,,,2009,
1.8 CDA צינור נשם,,,,,,[],,,,,,,CDA,1.8 L,,Engine,,,,Breather Hose,,,,
124X דסקיות אחורי אוקטביה מ13,,,,,,['Skoda'],,Skoda: Octavia,,,124 mm,,,,,Brake,,,Rear,Brake Discs,,,2013,
13A 1575,,,,,,[],,,,,,,,,,,,13A1575,,,,,,
16v סט טיימינג רומסטר + פולו 1.4,,,,,,"['Volkswagen', 'Skoda']","['16v סט טיימינג רומסטר', 'פולו 1.4']","Volkswagen: Polo, Skoda: Roomster",,,,,,1.4 L,,Engine,,,,Timing Belt Kit,,,,
16V סט מצמד איביזה + פולו 1.4,,,,,,"['Seat', 'Volkswagen']","['16V סט מצמד איביזה', 'פולו 1.4']","Volkswagen: Polo, Seat: Ibiza",,,,,,1.4 L,,Drivetrain,,,,Clutch Kit,,,,
3008 + 308 70 ממ בוקסה ת.מנוע,,,,,,['Peugeot'],"['3008', '308 70 ממ בוקסה ת.מנוע']","Peugeot: 308, Peugeot: 3008",,70 mm,,,,,,Engine,,,,Engine Mount,,,,
3PK 788,,,,788 mm,3-rib Poly-V belt,[],,,,,,,,,,,,3PK788,,,,,,
3PK 790,,,,790 mm,3-rib Poly-V belt,[],,,,,,,,,,,,3PK790,,,,,,
3PK 798,,,,798 mm,3-rib Poly-V belt,[],,,,,,,,,,,,3PK798,,,,,,
4PK 1000,,,,1000 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK1000,,,,,,
4PK 1015,,,,1015 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK1015,,,,,,
4PK 1165,,,,1165 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK1165,,,,,,
4PK 1590,,,,1590 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK1590,,,,,,
4PK 610,,,,610 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK610,,,,,,
4PK 711,,,,711 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK711,,,,,,
4PK 800,,,,800 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK800,,,,,,
4PK 812,,,,812 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK812,,,,,,
4PK 825,,,,825 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK825,,,,,,
4PK 845,,,,845 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK845,,,,,,
4PK 850,,,,850 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK850,,,,,,
4PK 862,,,,862 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK862,,,,,,
4PK 900,,,,900 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK900,,,,,,
4PK 962,,,,962 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK962,,,,,,
4PK820,,,,820 mm,4-rib Poly-V belt,[],,,,,,,,,,,,4PK820,,,,,,
4x2 + 4x4 ז.עזר היילקס עד 05,,,,,,['Toyota'],"['4x2', '4x4 ז.עזר היילקס עד 05']",Toyota: Hilux,,,,Four-wheel drive,,,,,,,,,,,,2005
4x2 בולם אחורי IX35 מ11,,,,,,['Hyundai'],,Hyundai: ix35,,,,Two-wheel drive,,,,Suspension,,,Rear,Rear Shock Absorber,,,2011,
4x2 דימקס מ12 משולש תחתון ימין,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Two-wheel drive,,,,Suspension,,,"Right, Lower",Lower Control Arm,,,2012,
4x2 דימקס מ12 משולש תחתון שמאל,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Two-wheel drive,,,,Suspension,,,"Left, Lower",Lower Control Arm,,,2012,
4x2 היילקס מ98 קצה הגה חיצוני,,,,,,['Toyota'],,Toyota: Hilux,,,,Two-wheel drive,,,,Steering,,,External,Tie Rod End,,,2098,
4x2 ויגו 06-07 דסקיות קדמי,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Two-wheel drive,,,,Brake,,,Front,Brake Discs,,,2006,2007
4x2 ויגו 06-07 צלחות קדמי,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Two-wheel drive,,,,Brake,,,Front,Brake Discs,,,2006,2007
4x2 ויגו מ06 משולש עליון ימין,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Two-wheel drive,,,,Suspension,,,"Right, Upper",Upper Control Arm,,,2006,
4x2 ויגו מ06 משולש עליון שמאל,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Two-wheel drive,,,,Suspension,,,"Left, Upper",Upper Control Arm,,,2006,
4x2 פ.אויר היילקס מ98,,,,,,['Toyota'],,Toyota: Hilux,,,,Two-wheel drive,,,,Filter,,,,Air Filter,,,2098,
4x4 + 4x2 עד 05 בולם קדמי,,,,,,[],"['4x4', '4x2 עד 05 בולם קדמי']",,,,,Four-wheel drive,,,,Suspension,,,Front,Front Shock Absorber,,,,2005
4x4 + 4x2 עד 11 ת.משולש דימקס,,,,,,['Isuzu'],"['4x4', '4x2 עד 11 ת.משולש דימקס']",Isuzu: D-Max,,,,Four-wheel drive,,,,Suspension,,,,Control Arm Bushing,,,,2011
4x4 דימקס מ07 סט רצועות,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Engine,,,,Belt Kit,,,2007,
4x4 דימקס מ12 בולם אחורי ימין + שמאל,,,,,,['Isuzu'],"['4x4 דימקס מ12 בולם אחורי ימין', 'שמאל']",Isuzu: D-Max,,,,Four-wheel drive,,,,Suspension,,,"Rear, Right, Left",Rear Shock Absorber,,,2012,
4x4 דימקס מ12 משולש עליון ימין,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Suspension,,,"Right, Upper",Upper Control Arm,,,2012,
4x4 דימקס מ12 משולש עליון שמאל,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Suspension,,,"Left, Upper",Upper Control Arm,,,2012,
4x4 דימקס עד 11 דרם אחורי,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Brake,,,Rear,Rear Brake Drum,,,,2011
4x4 דימקס עד 11 מ.מייצב קדמי ימין,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Suspension,,,"Front, Right",Front Stabilizer Link,,,,2011
4x4 דימקס עד 11 מ.מייצב קדמי שמאל,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Suspension,,,"Front, Left",Front Stabilizer Link,,,,2011
4x4 ויגו מ06 דסקיות קדמי,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Four-wheel drive,,,,Brake,,,Front,Brake Discs,,,2006,
4x4 ויגו מ06 דרם אחורי,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Four-wheel drive,,,,Brake,,,Rear,Rear Brake Drum,,,2006,
4x4 ויגו מ06 משולש עליון שמאל,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Four-wheel drive,,,,Suspension,,,"Left, Upper",Upper Control Arm,,,2006,
4x4 ויגו מ06 משולש תחתון שמאל,,,,,,['Toyota'],,Toyota: Hilux Vigo,,,,Four-wheel drive,,,,Suspension,,,"Left, Lower",Lower Control Arm,,,2006,
4x4 ויגו מ06 צלב BT-50,,,,,,"['Mazda', 'Toyota']",,"Mazda: BT-50, Toyota: Hilux Vigo",,,,Four-wheel drive,,,,Drivetrain,,,,Universal Joint Cross,,,2006,
4x4 ז.הגה דימקס מ07,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Steering,,,,Steering Arm,,,2007,
4x4 מ98 פ.אויר היילקס,,,,,,['Toyota'],,Toyota: Hilux,,,,Four-wheel drive,,,,Filter,,,,Air Filter,,,2098,
4x4 צלחות קדמי דימקס מ12,,,,,,['Isuzu'],,Isuzu: D-Max,,,,Four-wheel drive,,,,Brake,,,Front,Brake Discs,,,2012,
5PK 1065,,,,1065 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1065,,,,,,
5PK 1105,,,,1105 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1105,,,,,,
5PK 1145,,,,1145 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1145,,,,,,
5PK 1210,,,,1210 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1210,,,,,,
5PK 1230,,,,1230 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1230,,,,,,
5PK 1236,,,,1236 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1236,,,,,,
5PK 1243,,,,1243 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1243,,,,,,
5PK 1397,,,,1397 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1397,,,,,,
5PK 1515,,,,1515 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1515,,,,,,
5PK 1572,,,,1572 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1572,,,,,,
5PK 1650,,,,1650 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1650,,,,,,
5PK 1815,,,,1815 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1815,,,,,,
5PK 493,,,,493 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK493,,,,,,
5Pk 685,,,,,,[],,,,,,,,,,,,,,,,,,
5PK 690,,,,690 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK690,,,,,,
5PK 716,,,,716 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK716,,,,,,
5PK 868,,,,868 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK868,,,,,,
5PK 890,,,,890 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK890,,,,,,
5PK 907,,,,907 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK907,,,,,,
5PK 915,,,,915 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK915,,,,,,
5PK 975,,,,975 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK975,,,,,,
5PK1515,,,,1515 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK1515,,,,,,
5PK868,,,,868 mm,5-rib Poly-V belt,[],,,,,,,,,,,,5PK868,,,,,,
5Q0121251EQ רדיאטור אוקטביה מ13,,,,,,['Skoda'],,Skoda: Octavia,,,,,,,,Cooling,,5Q0121251EQ,,Radiator,,,2013,
6DPK 1215,,,,,,[],,,,,,,,,,,,,,,,,,
6PK 1000,,,,1000 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1000,,,,,,
6PK 1025,,,,1025 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1025,,,,,,
6PK 1033,,,,1033 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1033,,,,,,
6PK 1035,,,,1035 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1035,,,,,,
6PK 1043,,,,1043 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1043,,,,,,
6PK 1045,,,,1045 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1045,,,,,,
6PK 1059,,,,1059 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1059,,,,,,
6PK 1070,,,,1070 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1070,,,,,,
6PK 1075,,,,1075 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1075,,,,,,
6PK 1085,,,,1085 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1085,,,,,,
6PK 1115,,,,1115 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1115,,,,,,
6PK 1120,,,,1120 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1120,,,,,,
6PK 1125,,,,1125 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1125,,,,,,
6PK 1130,,,,1130 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1130,,,,,,
6PK 1145,,,,1145 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1145,,,,,,
6PK 1165,,,,1165 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1165,,,,,,
6PK 1185,,,,1185 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1185,,,,,,
6PK 1200,,,,1200 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1200,,,,,,
6PK 1209,,,,1209 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1209,,,,,,
6PK 1217,,,,1217 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1217,,,,,,
6PK 1230 קורולה מ08,,,,1230 mm,6-rib Poly-V belt,['Toyota'],,Toyota: Corolla,,,,,,,,,,6PK1230,,,,,2008,
6PK 1240,,,,1240 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1240,,,,,,
6PK 1255,,,,1255 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1255,,,,,,
6PK 1264,,,,1264 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1264,,,,,,
6PK 1270,,,,1270 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1270,,,,,,
6PK 1285,,,,1285 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1285,,,,,,
6PK 1305,,,,1305 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1305,,,,,,
6PK 1310,,,,1310 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1310,,,,,,
6PK 1400,,,,1400 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1400,,,,,,
6PK 1415,,,,1415 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1415,,,,,,
6PK 1420,,,,1420 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1420,,,,,,
6PK 1428,,,,1428 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1428,,,,,,
6PK 1460,,,,1460 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1460,,,,,,
6PK 1555,,,,1555 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1555,,,,,,
6PK 1575,,,,1575 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1575,,,,,,
6Pk 1590,,,,,,[],,,,,,,,,,,,,,,,,,
6PK 1613,,,,1613 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1613,,,,,,
6PK 1640,,,,1640 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1640,,,,,,
6PK 1660,,,,1660 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1660,,,,,,
6PK 1670,,,,1670 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1670,,,,,,
6PK 1685,,,,1685 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1685,,,,,,
6PK 1692,,,,1692 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1692,,,,,,
6PK 1693,,,,1693 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1693,,,,,,
6PK 1700,,,,1700 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1700,,,,,,
6PK 1715,,,,1715 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1715,,,,,,
6PK 1736,,,,1736 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1736,,,,,,
6PK 1782,,,,1782 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1782,,,,,,
6PK 1815,,,,1815 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1815,,,,,,
6PK 1865,,,,1865 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1865,,,,,,
6PK 1920,,,,1920 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1920,,,,,,
6PK 1965,,,,1965 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1965,,,,,,
6PK 1980,,,,1980 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1980,,,,,,
6PK 2005,,,,2005 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2005,,,,,,
6PK 2013,,,,2013 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2013,,,,,,
6PK 2030,,,,2030 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2030,,,,,,
6PK 2050,,,,2050 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2050,,,,,,
6PK 2063,,,,2063 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2063,,,,,,
6PK 2080,,,,2080 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2080,,,,,,
6PK 2130,,,,2130 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2130,,,,,,
6PK 2145,,,,2145 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2145,,,,,,
6PK 2155,,,,2155 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2155,,,,,,
6PK 2160,,,,2160 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2160,,,,,,
6PK 2195,,,,2195 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2195,,,,,,
6PK 2210,,,,2210 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2210,,,,,,
6PK 2238,,,,2238 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2238,,,,,,
6PK 2460,,,,2460 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2460,,,,,,
6PK 2490,,,,2490 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2490,,,,,,
6PK 2504,,,,2504 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2504,,,,,,
6PK 2515,,,,2515 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2515,,,,,,
6PK 2576,,,,2576 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2576,,,,,,
6PK 2680,,,,2680 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2680,,,,,,
6PK 2870,,,,2870 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2870,,,,,,
6PK 3032,,,,3032 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK3032,,,,,,
6PK 691,,,,691 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK691,,,,,,
6PK 892,,,,892 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK892,,,,,,
6PK 906,,,,906 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK906,,,,,,
6PK 923,,,,923 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK923,,,,,,
6Pk 962,,,,,,[],,,,,,,,,,,,,,,,,,
6PK 975,,,,975 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK975,,,,,,
6PK1028,,,,1028 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1028,,,,,,
6PK1045,,,,1045 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1045,,,,,,
6PK1100,,,,1100 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1100,,,,,,
6PK1115,,,,1115 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1115,,,,,,
6PK1200,,,,1200 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1200,,,,,,
6PK1255,,,,1255 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1255,,,,,,
6PK1590,,,,1590 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1590,,,,,,
6PK1613,,,,1613 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1613,,,,,,
6PK1736,,,,1736 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK1736,,,,,,
6PK2155,,,,2155 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2155,,,,,,
6PK2160,,,,2160 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2160,,,,,,
6PK2210,,,,2210 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2210,,,,,,
6PK2415,,,,2415 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK2415,,,,,,
6Pk2790,,,,,,[],,,,,,,,,,,,,,,,,,
6PK975,,,,975 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK975,,,,,,
6PK986,,,,986 mm,6-rib Poly-V belt,[],,,,,,,,,,,,6PK986,,,,,,
6Q0 498 099 E פעמון צריה פביה,,,,,,['Skoda'],,Skoda: Fabia,,,,,,,,Drivetrain,,6Q0,,CV Joint Boot,,,,
6R0121253A רדיאטור איביזה מ09,,,,,,['Seat'],,Seat: Ibiza,,,,,,,,Cooling,,6R0121253A,,Radiator,,,2009,
7PK 1055,,,,1055 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1055,,,,,,
7PK 1085,,,,1085 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1085,,,,,,
7PK 1103,,,,1103 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1103,,,,,,
7PK 1127,,,,1127 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1127,,,,,,
7PK 1165,,,,1165 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1165,,,,,,
7PK 1179,,,,1179 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1179,,,,,,
7PK 1473,,,,1473 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1473,,,,,,
7PK 1516,,,,1516 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1516,,,,,,
7PK 1575,,,,1575 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1575,,,,,,
7PK 1605,,,,1605 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1605,,,,,,
7PK 1640,,,,1640 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1640,,,,,,
7PK 1675,,,,1675 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1675,,,,,,
7PK 1766,,,,1766 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1766,,,,,,
7PK 1988,,,,1988 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1988,,,,,,
7PK 1990,,,,1990 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1990,,,,,,
7PK 2035,,,,2035 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2035,,,,,,
7PK 2061,,,,2061 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2061,,,,,,
7PK 2265,,,,2265 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2265,,,,,,
7PK 2285,,,,2285 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2285,,,,,,
7PK 2682,,,,2682 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2682,,,,,,
7PK 2842,,,,2842 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2842,,,,,,
7PK 990,,,,990 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK990,,,,,,
7PK1515,,,,1515 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1515,,,,,,
7PK1640,,,,1640 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK1640,,,,,,
7PK2682,,,,2682 mm,7-rib Poly-V belt,[],,,,,,,,,,,,7PK2682,,,,,,
A4 דסקיות אחורי מ16,,,,,,['Audi'],,Audi: A4,,,,,,,,Brake,,,Rear,Brake Discs,,,2016,
A4 מ.דלק 07-15,,,,,,['Audi'],,Audi: A4,,,,,,,,Fuel,,,,Fuel Pump,,,2007,2015
B2500 פ.אויר,,,,,,['Mazda'],,Mazda: B2500,,,,,,,,Filter,,,,Air Filter,,,,
B3 + B4 פ.מזגן + XV מ12,,,,,,['Subaru'],"['B3', 'B4 פ.מזגן', 'XV מ12']","Subaru: XV, Subaru: Legacy B3, Subaru: Legacy B4",,,,,,,,Filter,,,,AC Filter,,,2012,
B3 + B4 פלגים,,,,,,['Subaru'],"['B3', 'B4 פלגים']","Subaru: Legacy B3, Subaru: Legacy B4",,,,,,,,Ignition,,,,Spark Plugs,,,,
B3 + B4 רדיאטור + XV מ12,,,,,,['Subaru'],"['B3', 'B4 רדיאטור', 'XV מ12']","Subaru: XV, Subaru: Legacy B3, Subaru: Legacy B4",,,,,,,,Cooling,,,,Radiator,,,2012,
B4 + B3 פ.אויר מ04 + XV מ12,,,,,,['Subaru'],"['B4', 'B3 פ.אויר מ04', 'XV מ12']","Subaru: XV, Subaru: Legacy B3, Subaru: Legacy B4",,,,,,,,Filter,,,,Air Filter,,,2004,
BSE 1.6 מ.מים פסאט + A3 + A4,,,,,,"['Audi', 'Volkswagen']","['BSE 1.6 מ.מים פסאט', 'A3', 'A4']","Audi: A3, Audi: A4, Volkswagen: Passat",,,,,BSE,1.6 L,,Cooling,,,,Water Pump,,,,
BT-50 + B2500 מ.מים,,,,,,['Mazda'],"['BT-50', 'B2500 מ.מים']","Mazda: BT-50, Mazda: B2500",,,,,,,,Cooling,,,,Water Pump,,,,
C1 פ.מזגן 05-13 + 107 מ05,,,,,,"['Citroen', 'Peugeot']","['C1 פ.מזגן 05-13', '107 מ05']","Citroen: C1, Peugeot: 107",,,,,,,,Filter,,,,AC Filter,,,2005,2013
C3 + C4 + כוהל 208 נפח 1.2 מ17,,,,,,"['Citroen', 'Peugeot']","['C3', 'C4', 'כוהל 208 נפח 1.2 מ17']","Citroen: C3, Citroen: C4, Peugeot: 208",,,,,,1.2 L,,Cooling,,,,Thermostat,,,2017,
C4 + C3 פולי מ.מים,,,,,,['Citroen'],"['C4', 'C3 פולי מ.מים']","Citroen: C3, Citroen: C4",,,,,,,,Cooling,,,,Water Pump,,,,
C4 + C4 מ.מים 1.2,,,,,,['Citroen'],"['C4', 'C4 מ.מים 1.2']",Citroen: C4,,,,,,1.2 L,,Cooling,,,,Water Pump,,,,
CAX מ.מים 1.4,,,,,,[],,,,,,,CAX,1.4 L,,Cooling,,,,Water Pump,,,,
CBZ + CJZ אוקטביה מ13 בית מצערת 1.2,,,,,,['Skoda'],"['CBZ', 'CJZ אוקטביה מ13 בית מצערת 1.2']",Skoda: Octavia,,,,,CBZ,1.2 L,,Engine,,,,Throttle Body,,,2013,
CBZ BSE כוהל 1.6 מרובע,,,,,,[],,,,,,,CBZ,1.2 L,,Cooling,,,,Thermostat,,,,
